"source","job_id","title","company","location","job_url","modality","seniority","is_remote","salary","post_date","tags","description_snippet","fetched_at"
"LinkedIn","4405139049","Data Scientist","Growin","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/data-scientist-at-growin-4405139049","On-site / Hybrid","Entry-Level / Early Career",False,"","4 months ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4367476464","AI Engineer & Data Science (Google Cloud / Vertex AI)","Capgemini","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-data-science-google-cloud-vertex-ai-at-capgemini-4367476464","On-site / Hybrid","Entry-Level / Early Career",False,"","6 months ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4436525143","Data Scientist","Riskified","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/data-scientist-at-riskified-4436525143","On-site / Hybrid","Entry-Level / Early Career",False,"","3 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4451517303","Data Scientist","BNP Paribas CIB","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/data-scientist-at-bnp-paribas-cib-4451517303","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4407823467","Data Scientist","Capgemini Engineering","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/data-scientist-at-capgemini-engineering-4407823467","On-site / Hybrid","Entry-Level / Early Career",False,"","3 months ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4449669476","AI & Automation Solutions Developer","Fujitsu","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-automation-solutions-developer-at-fujitsu-4449669476","On-site / Hybrid","Entry-Level / Early Career",False,"","4 days ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4388575442","Primary Markets - Full Stack AI Transformation Engineer","BNP Paribas CIB","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/primary-markets-full-stack-ai-transformation-engineer-at-bnp-paribas-cib-4388575442","On-site / Hybrid","Entry-Level / Early Career",False,"","1 month ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4449756576","AI Platform Engineer - Syone","Syone","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-platform-engineer-syone-at-syone-4449756576","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4405170644","AI & Data Engineer (all genders)","Thorit","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-data-engineer-all-genders-at-thorit-4405170644","On-site / Hybrid","Entry-Level / Early Career",False,"","3 months ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4412210226","Applied Science Manager, AWS Generative AI Innovation Center","Amazon Science","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/applied-science-manager-aws-generative-ai-innovation-center-at-amazon-science-4412210226","On-site / Hybrid","Entry-Level / Early Career",False,"","3 months ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4411204076","Curriculum Manager - Data Science and AI","DataCamp","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/curriculum-manager-data-science-and-ai-at-datacamp-4411204076","On-site / Hybrid","Entry-Level / Early Career",False,"","3 months ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4449577675","Generative AI Engineer","Smart Consulting","Lisbon Metropolitan Area","https://pt.linkedin.com/jobs/view/generative-ai-engineer-at-smart-consulting-4449577675","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4436706641","AI Ops Engineer","Critical Software","Coimbra, Coimbra, Portugal","https://pt.linkedin.com/jobs/view/ai-ops-engineer-at-critical-software-4436706641","On-site / Hybrid","Entry-Level / Early Career",False,"","1 day ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4438352532","AI Engineer / Agent Developer","Metyis","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-agent-developer-at-metyis-4438352532","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4442726031","Generative AI Engineer","WIT","Coimbra, Portugal","https://pt.linkedin.com/jobs/view/generative-ai-engineer-at-wit-4442726031","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4450241871","AI Engineer","Integer Consulting","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-at-integer-consulting-4450241871","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4445724726","AI Developer","act digital","Porto, Portugal","https://pt.linkedin.com/jobs/view/ai-developer-at-act-digital-4445724726","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4378767495","Machine Learning Engineer","Affinity","Lisbon Metropolitan Area","https://pt.linkedin.com/jobs/view/machine-learning-engineer-at-affinity-4378767495","On-site / Hybrid","Entry-Level / Early Career",False,"","6 days ago","[]","","2026-08-18 00:03:33"
